word,other managers,YorN
present,0.103803662786387,
โครงการ,0.103803662786387,
อื่นๆ,0.103803662786387,n
health,0.103803662786387,
ทำงาน,0.103803662786387,n
ข้อมูล,0.103803662786387,
การทำงาน,0.103803662786387,n
แผนก,0.103803662786387,n
ขึ้นไป,0.103803662786387,n
deliv,0.103803662786387,
updat,0.103803662786387,
point,0.103803662786387,
พื้นที่,0.103803662786387,
pressur,0.103803662786387,
technic,0.103803662786387,
action,0.103803662786387,
initi,0.103803662786387,
conduct,0.103803662786387,
object,0.103803662786387,
