word,accountant + audit,YorN,top
check,0.137785183286337,,
issu,0.137785183286337,n,
หนี้,0.134580876698283,y,
ใบกำกับภาษี,0.134580876698283,y,
ถูกต้อง,0.134580876698283,,
พนักงาน,0.134580876698283,n,
ฝ่าย,0.134580876698283,,
activ,0.131376570110228,n,
เกี่ยวกับ,0.131376570110228,n,
ด่วน,0.131376570110228,n,
งบ,0.131376570110228,y,
ซื้อ,0.128172263522174,,
ตรวจ,0.128172263522174,,
posit,0.128172263522174,n,
polici,0.128172263522174,,
general,0.128172263522174,,
ภายใน,0.128172263522174,,
ทรัพย์สิน,0.128172263522174,y,
strong,0.128172263522174,n,
มีประสบการณ์,0.124967956934119,n,
abil,0.124967956934119,n,
ใบ,0.124967956934119,,
procedur,0.124967956934119,n,
กระทบ,0.124967956934119,,
จะ,0.121763650346065,n,
function,0.121763650346065,,
เงินสด,0.121763650346065,,
fix,0.121763650346065,,
client,0.118559343758011,,
candid,0.118559343758011,n,
ขึ้นไป,0.118559343758011,n,
reconcil,0.118559343758011,,
standard,0.115355037169956,,
ประจำปี,0.115355037169956,,
microsoft,0.115355037169956,,
ปริญญาตรี,0.115355037169956,n,
รายรับ,0.115355037169956,y,
inform,0.115355037169956,,
ธนาคาร,0.115355037169956,,
plan,0.112150730581902,,
level,0.112150730581902,,
follow,0.112150730581902,,
sheet,0.112150730581902,,
sale,0.108946423993848,n,
analysi,0.108946423993848,,
เป็นพิเศษ,0.108946423993848,n,
จัดเก็บ,0.108946423993848,,
ประจำ,0.108946423993848,n,
voucher,0.108946423993848,,
develop,0.105742117405793,,
speak,0.105742117405793,n,
ปฏิบัติงาน,0.105742117405793,n,
contact,0.105742117405793,n,
person,0.105742117405793,,
expect,0.105742117405793,,
ทุก,0.105742117405793,n,
collect,0.105742117405793,,
descript,0.102537810817739,n,
flow,0.102537810817739,n,
การทำงาน,0.102537810817739,n,
อายุ,0.102537810817739,n,
นำ,0.102537810817739,n,
ledger,0.102537810817739,,
file,0.102537810817739,n,
