word,care taker,YorN
รวม,0.273972602739726,n
รักษา,0.273972602739726,
ภายใน,0.273972602739726,
อายุ,0.273972602739726,n
จัดเตรียม,0.273972602739726,
นำ,0.273972602739726,n
อื่น,0.273972602739726,n
มอบหมาย,0.273972602739726,
วัน,0.273972602739726,n
เกิด,0.273972602739726,n
หา,0.273972602739726,n
ทั่วไป,0.273972602739726,n
เข้า,0.273972602739726,n
เดือน,0.273972602739726,n
รายได้,0.273972602739726,
ผู้ป่วยใน,0.273972602739726,y
จันทร์,0.273972602739726,n
สัปดาห์,0.273972602739726,n
รับสมัคร,0.273972602739726,n
นำมา,0.273972602739726,n
ใกล้ชิด,0.273972602739726,
ต่ำกว่า,0.273972602739726,n
ไอ,0.273972602739726,y
สะอาด,0.273972602739726,
หลัง,0.273972602739726,n
sign,0.273972602739726,
หยุด,0.273972602739726,n
ค่าเดินทาง,0.273972602739726,n
แล้วแต่,0.273972602739726,n
อร,0.273972602739726,n
อาการ,0.273972602739726,y
ค่าโทรศัพท์,0.273972602739726,n
ละ,0.273972602739726,n
ตามเวลา,0.273972602739726,n
ห้องน้ำ,0.273972602739726,
ฉุกเฉิน,0.273972602739726,y
ติด,0.273972602739726,n
ปฏิบัติหน้าที่,0.273972602739726,n
พฤติกรรม,0.273972602739726,
ยัง,0.273972602739726,n
เช้า,0.273972602739726,n
เกล้า,0.273972602739726,n
ห้อง,0.273972602739726,n
ยืน,0.273972602739726,n
เด็ก,0.273972602739726,
เวร,0.273972602739726,
เปล,0.273972602739726,y
ผู้ชาย,0.273972602739726,
แอ,0.273972602739726,n
์ต,0.273972602739726,n
อินเตอร์,0.273972602739726,n
เทพารักษ์,0.273972602739726,n
เคลื่อนย้าย,0.273972602739726,y
ความพร้อม,0.273972602739726,
ผ่าตัด,0.273972602739726,
ประเทศ,0.273972602739726,
เดินเล่น,0.273972602739726,
สัตว์เลี้ยง,0.273972602739726,y
เลี้ยงสัตว์,0.273972602739726,y
วัด,0.273972602739726,n
ติดต่อสอบถาม,0.273972602739726,n
ต้อน,0.273972602739726,
รับแขก,0.273972602739726,
ผู้มาติดต่อ,0.273972602739726,
นม,0.273972602739726,
ราชพฤกษ์,0.273972602739726,
ลงบันทึก,0.273972602739726,
ช้า,0.273972602739726,n
ระยะ,0.273972602739726,
เด็กเล็ก,0.273972602739726,y
ค่าเบี้ยเลี้ยง,0.273972602739726,
ที่ประกาศ,0.273972602739726,n
หอพัก,0.273972602739726,n
เด็กอ่อน,0.273972602739726,y
เด็กโต,0.273972602739726,y
เล็กน้อย,0.273972602739726,n
เลิกเรียน,0.273972602739726,
เย็น,0.273972602739726,n
สังเกต,0.273972602739726,
vital,0.273972602739726,
สัง,0.273972602739726,n
เกตุ,0.273972602739726,n
เพราะ,0.273972602739726,n
ร่างกาย,0.273972602739726,y
บาล,0.273972602739726,n
พลิกตัว,0.273972602739726,y
กรง,0.273972602739726,n
พักฟื้น,0.273972602739726,y
แขนขา,0.273972602739726,
ซ้าย,0.273972602739726,n
ขวา,0.273972602739726,n
ไม่ค่อย,0.273972602739726,n
ไม้เท้า,0.273972602739726,y
เพาะ,0.273972602739726,n
เว็ท,0.273972602739726,
เวียง,0.273972602739726,n
ลาว,0.273972602739726,n
อุปกรณ์การแพทย์,0.273972602739726,y
บริบาล,0.273972602739726,y
เช็ดตัว,0.273972602739726,y
