,job,in_HR,in_Investor // finance // account,in_Policy manager // BD,in_Stock // procurement // supply,in_architecture,in_care taker,in_cashier,in_cooker + bartender,in_coordinator,in_credit analyst,in_entertainer,in_event organizer,in_flim,in_gardener,in_graphic design,in_interior archetecture,in_law,in_maid,in_manufacturing manager,in_marketing // advertising,in_other managers,in_photographer,in_product,in_retail manager,in_sale // service,in_security + safety,in_teacher,in_therapist,in_translator,in_vehicle driver,in_waiter,in_writer,avg_err,alpha,beta,n_topic,represent_topic,order,amount,o,Represent_topic
15,writer,0.0,0.0,0.613496933,0.23255814,0.0,0,0.0,0.529100529,0.636942675,0.0,0,8,0,0,9.42408377,0.0,0.0,0,0.0,14.34911243,1.041666667,0,0.0,0.0,1.406926407,0.0,1.047120419,0.0,0.694444444,0.0,0.0,84.61538462,1.225014594,symmetric,None,87,"[59, 35]",16,65,25,"[59, 35]"
16,graphic design,0.0,0.0,1.226993865,0.0,5.263157895,0,0.0,0.529100529,0.0,0.0,0,6,0,0,75.91623037,17.24137931,0.0,0,0.0,0.0,0.0,0,6.060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.416666667,0.0,4.615384615,1.333977063,symmetric,0.05,80,"[20, 15]",17,191,23,"[47, 69]"
17,interior archetecture,0.0,0.0,1.226993865,0.465116279,19.29824561,0,0.0,0.0,0.318471338,0.0,0,16,0,0,1.570680628,72.4137931,0.0,0,0.0,0.295857988,1.041666667,0,0.0,0.0,0.649350649,0.0,0.0,13.20754717,0.0,0.0,4.861111111,0.0,1.901130365,0.05,None,90,"[52, 77, 28]",18,58,26,"[16, 74]"
18,coordinator,6.849315068,2.297090352,0.0,5.581395349,1.754385965,0,0.0,0.0,76.75159236,6.153846154,0,4,0,0,1.047120419,1.724137931,3.314917127,0,0.0,3.550295858,2.083333333,0,9.090909091,0.0,6.060606061,0.0,0.523560209,0.0,9.722222222,1.25,0.694444444,3.076923077,2.218532344,0.06,None,74,"[13, 73, 64]",19,314,13,"[11, 32, 33]"
19,retail manager,1.02739726,0.765696784,1.840490798,3.255813953,1.754385965,0,0.0,4.761904762,0.955414013,0.0,0,2,0,0,0.523560209,1.724137931,0.0,0,3.571428571,2.810650888,15.625,0,0.0,77.62557078,2.056277056,5.357142857,2.094240838,5.660377358,0.0,0.0,8.333333333,0.0,2.06829847,0.055,None,120,"[92, 21]",20,219,22,"[4, 34, 52, 17]"
20,sale // service,1.712328767,2.450229709,6.134969325,8.139534884,3.50877193,0,1.724137931,2.116402116,7.643312102,13.84615385,0,30,0,0,1.047120419,1.724137931,0.0,2,0.0,28.55029586,13.54166667,0,6.060606061,6.392694064,74.45887446,0.0,4.188481675,9.433962264,4.166666667,4.166666667,2.083333333,1.538461538,5.231288186,0.075,None,110,"[40, 12, 24]",21,924,27,"[109, 73, 54, 96, 7]"
21,marketing // advertising,9.246575342,3.215926493,53.98773006,3.255813953,5.263157895,0,0.0,1.058201058,4.458598726,1.538461538,0,38,0,0,5.759162304,1.724137931,0.552486188,0,14.28571429,74.11242604,21.875,0,19.6969697,9.132420091,21.75324675,0.0,5.759162304,1.886792453,2.777777778,2.083333333,0.0,24.61538462,8.126646865,0.1,None,101,"[70, 43, 27, 28]",22,676,29,"[70, 43, 27, 28]"
22,waiter,1.712328767,0.306278714,0.613496933,0.23255814,0.0,0,15.51724138,16.4021164,1.592356688,1.538461538,0,0,0,0,1.047120419,0.0,0.552486188,6,0.0,0.591715976,0.0,0,0.0,16.89497717,2.813852814,0.0,0.0,1.886792453,0.0,6.666666667,81.94444444,1.538461538,2.448610058,0.08,None,83,"[74, 41, 81, 3]",23,144,24,"[20, 21, 27, 62]"
23,manufacturing manager,10.2739726,5.206738132,11.04294479,8.604651163,7.01754386,0,0.0,5.291005291,6.050955414,0.0,0,2,0,0,0.523560209,3.448275862,4.419889503,0,75.0,2.810650888,14.58333333,0,18.18181818,3.652968037,0.865800866,3.571428571,4.188481675,0.0,1.388888889,0.833333333,0.0,3.076923077,3.775263344,0.002,None,107,"[12, 2]",24,28,21,"[56, 15, 21, 19, 90, 16]"
24,Policy manager // BD,10.61643836,4.900459418,76.07361963,3.023255814,14.03508772,0,0.0,0.529100529,1.592356688,0.0,0,10,0,0,0.523560209,6.896551724,4.419889503,0,39.28571429,39.20118343,33.33333333,0,19.6969697,9.132420091,10.60606061,0.0,6.282722513,0.0,0.0,1.25,0.0,1.538461538,6.995598886,0.095,None,95,"[4, 71, 42]",25,163,28,"[4, 71, 42]"
25,entertainer,0.0,2.297090352,3.067484663,0.23255814,0.0,0,0.0,0.0,0.318471338,1.538461538,100,0,0,0,0.0,0.0,1.104972376,0,0.0,0.0,2.083333333,0,3.03030303,0.0,1.082251082,0.0,0.0,0.0,0.694444444,0.0,0.0,0.0,0.498366784,0.015,None,100,"[19, 98, 66, 58, 25]",26,2,1,"[15, 0]"
26,flim,0.0,1.837672282,0.0,0.465116279,1.754385965,10,0.0,0.0,0.318471338,0.0,0,0,100,0,0.0,0.0,0.552486188,0,3.571428571,0.147928994,0.0,0,0.0,0.0,0.108225108,0.0,0.0,1.886792453,0.0,0.0,0.0,0.0,0.665887328,0.06,None,100,"[22, 36, 31]",27,3,2,"[59, 46]"
27,photographer,2.054794521,3.215926493,3.680981595,0.23255814,1.754385965,0,0.0,2.645502646,2.229299363,4.615384615,0,0,0,0,3.664921466,1.724137931,1.104972376,0,0.0,2.514792899,0.0,100,4.545454545,0.0,0.974025974,1.785714286,0.0,0.0,1.388888889,0.833333333,0.0,1.538461538,1.306565696,0.5,1,90,"[40, 38, 41]",28,4,16,"[35, 74, 8]"
28,gardener,0.0,0.612557427,0.0,0.465116279,0.0,10,0.0,0.0,0.0,0.0,0,0,0,100,0.0,1.724137931,3.867403315,2,0.0,0.0,2.083333333,0,0.0,0.0,0.108225108,0.0,1.047120419,0.0,0.0,0.0,0.0,4.615384615,0.855589627,0.1,None,92,"[83, 48, 6, 84, 3]",29,6,17,"[76, 66, 64, 15]"
